tool_id,collaboration_sent,innovative_sent,information_sent,service_sent,business_development_sent,content_management_sent,user_experience_sent,design_sent,time_management_sent,product_sent,content_creation_sent,customer_support_sent,ease_of_use_sent,workflow_optimization_sent,ai_assistant_sent,collaboration,innovative,information,service,business_development,content_management,user_experience,design,time_management,product,content_creation,customer_support,ease_of_use,workflow_optimization,ai_assistant
6.0,0.26666666666666666,,,,0.26666666666666666,,,,,0.26666666666666666,,,,,,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
16.0,0.3333333333333333,0.1111111111111111,,0.02888888888888889,0.3333333333333333,,,,,0.21666666666666665,0.0,0.31666666666666665,0.32499999999999996,,0.02888888888888889,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285
17.0,,0.04999999999999999,,,,0.11666666666666668,0.05833333333333334,0.0,0.05833333333333334,,0.11666666666666668,0.11666666666666668,0.04999999999999999,,0.11666666666666668,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
45.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,,0.4,,0.4,,,0.09999999999999999,,,0.049999999999999996,,,,0.09999999999999999,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
80.0,0.39249999999999996,0.54125,0.20439814814814816,0.33646867838044303,0.23779761904761904,0.25477756460711004,0.33366666666666667,0.2777777777777778,0.28366228070175437,0.27232142857142855,0.29787977703300283,0.3773148148148148,0.3194809941520467,0.3352430555555556,0.26660948773448767,0.15151515151515152,0.15151515151515152,0.13636363636363635,0.25757575757575757,0.10606060606060606,0.3333333333333333,0.30303030303030304,0.045454545454545456,0.2878787878787879,0.21212121212121213,0.4696969696969697,0.13636363636363635,0.2878787878787879,0.18181818181818182,0.30303030303030304
97.0,0.37545454545454543,0.231875,0.2280871212121212,0.6,0.40704545454545454,0.4905654761904762,0.3783333333333333,0.31666666666666665,0.2942857142857143,0.33333333333333337,0.341058201058201,0.31500000000000006,0.3781349206349206,0.1958333333333333,0.41111111111111115,0.175,0.1,0.1,0.05,0.1,0.2,0.2,0.025,0.175,0.125,0.225,0.1,0.175,0.1,0.1
125.0,,,,,0.0,0.0,,,0.0,0.4,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0
128.0,,,,,,,,,0.5,,,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
161.0,,0.625,0.25,0.05,0.0,0.3125,,,0.0,1.0,0.23199999999999998,0.4166666666666667,0.08333333333333333,0.0,0.08333333333333333,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.0,0.0,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.2727272727272727
